full_date,date_id,year,quarter,month,is_post_covid,date,gdp_index,gdp_growth_yoy,gdp_growth_3m_yoy
1997-01-01,199701,1997,1,1,False,1997 JAN,61.6,,
1997-02-01,199702,1997,1,2,False,1997 FEB,61.9,,
1997-03-01,199703,1997,1,3,False,1997 MAR,61.8,,
1997-04-01,199704,1997,2,4,False,1997 APR,62.6,,
1997-05-01,199705,1997,2,5,False,1997 MAY,62.1,,
1997-06-01,199706,1997,2,6,False,1997 JUN,62.5,,
1997-07-01,199707,1997,3,7,False,1997 JUL,62.8,,
1997-08-01,199708,1997,3,8,False,1997 AUG,62.8,,
1997-09-01,199709,1997,3,9,False,1997 SEP,63.0,,
1997-10-01,199710,1997,4,10,False,1997 OCT,63.4,,
1997-11-01,199711,1997,4,11,False,1997 NOV,63.6,,
1997-12-01,199712,1997,4,12,False,1997 DEC,64.2,,
1998-01-01,199801,1998,1,1,False,1998 JAN,64.1,3.9,
1998-02-01,199802,1998,1,2,False,1998 FEB,64.4,4.1,
1998-03-01,199803,1998,1,3,False,1998 MAR,64.2,3.9,4.0
1998-04-01,199804,1998,2,4,False,1998 APR,64.8,3.6,3.9
1998-05-01,199805,1998,2,5,False,1998 MAY,64.6,4.1,3.9
1998-06-01,199806,1998,2,6,False,1998 JUN,64.6,3.3,3.6
1998-07-01,199807,1998,3,7,False,1998 JUL,64.7,3.1,3.5
1998-08-01,199808,1998,3,8,False,1998 AUG,64.9,3.2,3.2
1998-09-01,199809,1998,3,9,False,1998 SEP,64.9,3.0,3.1
1998-10-01,199810,1998,4,10,False,1998 OCT,65.2,2.8,3.0
1998-11-01,199811,1998,4,11,False,1998 NOV,65.3,2.7,2.8
1998-12-01,199812,1998,4,12,False,1998 DEC,65.5,2.0,2.5
1999-01-01,199901,1999,1,1,False,1999 JAN,65.6,2.4,2.4
1999-02-01,199902,1999,1,2,False,1999 FEB,65.7,1.9,2.1
1999-03-01,199903,1999,1,3,False,1999 MAR,65.8,2.4,2.2
1999-04-01,199904,1999,2,4,False,1999 APR,65.5,1.0,1.8
1999-05-01,199905,1999,2,5,False,1999 MAY,66.0,2.3,1.9
1999-06-01,199906,1999,2,6,False,1999 JUN,66.2,2.5,1.9
1999-07-01,199907,1999,3,7,False,1999 JUL,66.8,3.2,2.7
1999-08-01,199908,1999,3,8,False,1999 AUG,67.0,3.4,3.0
1999-09-01,199909,1999,3,9,False,1999 SEP,67.4,3.8,3.5
1999-10-01,199910,1999,4,10,False,1999 OCT,68.0,4.2,3.8
1999-11-01,199911,1999,4,11,False,1999 NOV,68.4,4.7,4.3
1999-12-01,199912,1999,4,12,False,1999 DEC,68.3,4.3,4.4
2000-01-01,200001,2000,1,1,False,2000 JAN,69.2,5.4,4.8
2000-02-01,200002,2000,1,2,False,2000 FEB,69.1,5.2,4.9
2000-03-01,200003,2000,1,3,False,2000 MAR,68.7,4.5,5.0
2000-04-01,200004,2000,2,4,False,2000 APR,69.0,5.4,5.0
2000-05-01,200005,2000,2,5,False,2000 MAY,69.6,5.4,5.1
2000-06-01,200006,2000,2,6,False,2000 JUN,70.1,5.8,5.5
2000-07-01,200007,2000,3,7,False,2000 JUL,69.6,4.1,5.1
2000-08-01,200008,2000,3,8,False,2000 AUG,70.3,4.9,4.9
2000-09-01,200009,2000,3,9,False,2000 SEP,70.2,4.2,4.4
2000-10-01,200010,2000,4,10,False,2000 OCT,70.3,3.4,4.2
2000-11-01,200011,2000,4,11,False,2000 NOV,70.6,3.2,3.6
2000-12-01,200012,2000,4,12,False,2000 DEC,70.8,3.7,3.4
2001-01-01,200101,2001,1,1,False,2001 JAN,70.9,2.5,3.1
2001-02-01,200102,2001,1,2,False,2001 FEB,70.9,2.6,3.0
2001-03-01,200103,2001,1,3,False,2001 MAR,71.4,3.9,3.0
2001-04-01,200104,2001,2,4,False,2001 APR,71.2,3.1,3.2
2001-05-01,200105,2001,2,5,False,2001 MAY,71.3,2.5,3.2
2001-06-01,200106,2001,2,6,False,2001 JUN,71.6,2.2,2.6
2001-07-01,200107,2001,3,7,False,2001 JUL,71.6,2.8,2.5
2001-08-01,200108,2001,3,8,False,2001 AUG,71.7,2.0,2.4
2001-09-01,200109,2001,3,9,False,2001 SEP,71.6,2.0,2.3
2001-10-01,200110,2001,4,10,False,2001 OCT,71.8,2.1,2.1
2001-11-01,200111,2001,4,11,False,2001 NOV,71.8,1.8,2.0
2001-12-01,200112,2001,4,12,False,2001 DEC,71.8,1.4,1.8
2002-01-01,200201,2002,1,1,False,2002 JAN,72.0,1.5,1.5
2002-02-01,200202,2002,1,2,False,2002 FEB,71.8,1.3,1.4
