full_date,date_id,year,quarter,month,is_post_covid,frequency,cpih_index,cpih_annual_rate,cpih_monthly_rate
1997-01-01,199701,1997,1,1,False,1997 JAN,69.2,2.6,-0.3
1997-02-01,199702,1997,1,2,False,1997 FEB,69.3,2.4,0.2
1997-03-01,199703,1997,1,3,False,1997 MAR,69.4,2.2,0.2
1997-04-01,199704,1997,2,4,False,1997 APR,69.7,2.1,0.4
1997-05-01,199705,1997,2,5,False,1997 MAY,70.0,2.1,0.4
1997-06-01,199706,1997,2,6,False,1997 JUN,70.1,2.1,0.2
1997-07-01,199707,1997,3,7,False,1997 JUL,70.0,2.4,-0.2
1997-08-01,199708,1997,3,8,False,1997 AUG,70.3,2.3,0.4
1997-09-01,199709,1997,3,9,False,1997 SEP,70.5,2.2,0.3
1997-10-01,199710,1997,4,10,False,1997 OCT,70.6,2.2,0.1
1997-11-01,199711,1997,4,11,False,1997 NOV,70.6,2.1,0.0
1997-12-01,199712,1997,4,12,False,1997 DEC,70.7,1.9,0.2
1998-01-01,199801,1998,1,1,False,1998 JAN,70.4,1.8,-0.5
1998-02-01,199802,1998,1,2,False,1998 FEB,70.6,1.8,0.3
1998-03-01,199803,1998,1,3,False,1998 MAR,70.8,1.9,0.3
1998-04-01,199804,1998,2,4,False,1998 APR,71.2,2.1,0.6
1998-05-01,199805,1998,2,5,False,1998 MAY,71.5,2.2,0.5
1998-06-01,199806,1998,2,6,False,1998 JUN,71.4,1.9,-0.1
1998-07-01,199807,1998,3,7,False,1998 JUL,71.2,1.7,-0.4
1998-08-01,199808,1998,3,8,False,1998 AUG,71.4,1.6,0.3
1998-09-01,199809,1998,3,9,False,1998 SEP,71.7,1.7,0.4
1998-10-01,199810,1998,4,10,False,1998 OCT,71.7,1.6,0.0
1998-11-01,199811,1998,4,11,False,1998 NOV,71.8,1.7,0.1
1998-12-01,199812,1998,4,12,False,1998 DEC,72.0,1.9,0.3
1999-01-01,199901,1999,1,1,False,1999 JAN,71.8,2.0,-0.4
1999-02-01,199902,1999,1,2,False,1999 FEB,71.9,1.9,0.2
1999-03-01,199903,1999,1,3,False,1999 MAR,72.3,2.1,0.5
1999-04-01,199904,1999,2,4,False,1999 APR,72.6,2.0,0.5
1999-05-01,199905,1999,2,5,False,1999 MAY,72.8,1.7,0.2
1999-06-01,199906,1999,2,6,False,1999 JUN,72.7,1.8,-0.1
1999-07-01,199907,1999,3,7,False,1999 JUL,72.4,1.7,-0.4
1999-08-01,199908,1999,3,8,False,1999 AUG,72.6,1.6,0.3
1999-09-01,199909,1999,3,9,False,1999 SEP,72.8,1.6,0.3
1999-10-01,199910,1999,4,10,False,1999 OCT,72.8,1.5,-0.1
1999-11-01,199911,1999,4,11,False,1999 NOV,72.9,1.5,0.2
1999-12-01,199912,1999,4,12,False,1999 DEC,73.1,1.5,0.3
2000-01-01,200001,2000,1,1,False,2000 JAN,72.6,1.2,-0.7
2000-02-01,200002,2000,1,2,False,2000 FEB,72.8,1.2,0.3
2000-03-01,200003,2000,1,3,False,2000 MAR,73.0,1.0,0.2
2000-04-01,200004,2000,2,4,False,2000 APR,73.3,0.9,0.5
2000-05-01,200005,2000,2,5,False,2000 MAY,73.5,1.0,0.3
2000-06-01,200006,2000,2,6,False,2000 JUN,73.6,1.2,0.1
2000-07-01,200007,2000,3,7,False,2000 JUL,73.3,1.2,-0.4
2000-08-01,200008,2000,3,8,False,2000 AUG,73.3,1.0,0.0
2000-09-01,200009,2000,3,9,False,2000 SEP,73.8,1.3,0.6
2000-10-01,200010,2000,4,10,False,2000 OCT,73.8,1.4,0.0
2000-11-01,200011,2000,4,11,False,2000 NOV,74.0,1.5,0.3
2000-12-01,200012,2000,4,12,False,2000 DEC,74.0,1.2,0.0
2001-01-01,200101,2001,1,1,False,2001 JAN,73.5,1.2,-0.7
2001-02-01,200102,2001,1,2,False,2001 FEB,73.7,1.2,0.3
2001-03-01,200103,2001,1,3,False,2001 MAR,73.9,1.3,0.3
2001-04-01,200104,2001,2,4,False,2001 APR,74.4,1.5,0.6
2001-05-01,200105,2001,2,5,False,2001 MAY,74.9,1.9,0.6
2001-06-01,200106,2001,2,6,False,2001 JUN,75.0,1.9,0.2
2001-07-01,200107,2001,3,7,False,2001 JUL,74.5,1.7,-0.6
2001-08-01,200108,2001,3,8,False,2001 AUG,74.8,2.1,0.4
2001-09-01,200109,2001,3,9,False,2001 SEP,75.0,1.7,0.3
2001-10-01,200110,2001,4,10,False,2001 OCT,74.9,1.6,-0.1
2001-11-01,200111,2001,4,11,False,2001 NOV,74.9,1.2,-0.1
2001-12-01,200112,2001,4,12,False,2001 DEC,75.0,1.4,0.2
2002-01-01,200201,2002,1,1,False,2002 JAN,74.8,1.8,-0.2
2002-02-01,200202,2002,1,2,False,2002 FEB,75.0,1.7,0.2
2002-03-01,200203,2002,1,3,False,2002 MAR,75.2,1.7,0.3
2002-04-01,200204,2002,2,4,False,2002 APR,75.6,1.6,0.6
2002-05-01,200205,2002,2,5,False,2002 MAY,75.8,1.2,0.2
2002-06-01,200206,2002,2,6,False,2002 JUN,75.8,1.1,0.0
2002-07-01,200207,2002,3,7,False,2002 JUL,75.6,1.4,-0.3
2002-08-01,200208,2002,3,8,False,2002 AUG,75.8,1.3,0.2
2002-09-01,200209,2002,3,9,False,2002 SEP,76.0,1.2,0.2
2002-10-01,200210,2002,4,10,False,2002 OCT,76.1,1.5,0.2
2002-11-01,200211,2002,4,11,False,2002 NOV,76.1,1.6,0.0
2002-12-01,200212,2002,4,12,False,2002 DEC,76.3,1.7,0.3
2003-01-01,200301,2003,1,1,False,2003 JAN,75.9,1.4,-0.5
2003-02-01,200302,2003,1,2,False,2003 FEB,76.1,1.6,0.3
2003-03-01,200303,2003,1,3,False,2003 MAR,76.4,1.6,0.3
2003-04-01,200304,2003,2,4,False,2003 APR,76.8,1.5,0.5
2003-05-01,200305,2003,2,5,False,2003 MAY,76.8,1.3,0.0
2003-06-01,200306,2003,2,6,False,2003 JUN,76.7,1.2,-0.2
2003-07-01,200307,2003,3,7,False,2003 JUL,76.6,1.3,-0.1
2003-08-01,200308,2003,3,8,False,2003 AUG,76.8,1.4,0.3
2003-09-01,200309,2003,3,9,False,2003 SEP,77.0,1.3,0.2
2003-10-01,200310,2003,4,10,False,2003 OCT,77.1,1.3,0.1
2003-11-01,200311,2003,4,11,False,2003 NOV,77.1,1.3,0.0
2003-12-01,200312,2003,4,12,False,2003 DEC,77.3,1.3,0.3
2004-01-01,200401,2004,1,1,False,2004 JAN,77.0,1.5,-0.3
2004-02-01,200402,2004,1,2,False,2004 FEB,77.2,1.4,0.2
2004-03-01,200403,2004,1,3,False,2004 MAR,77.3,1.2,0.1
2004-04-01,200404,2004,2,4,False,2004 APR,77.6,1.1,0.5
2004-05-01,200405,2004,2,5,False,2004 MAY,77.9,1.4,0.3
2004-06-01,200406,2004,2,6,False,2004 JUN,77.9,1.5,0.0
2004-07-01,200407,2004,3,7,False,2004 JUL,77.7,1.4,-0.2
2004-08-01,200408,2004,3,8,False,2004 AUG,77.9,1.4,0.2
2004-09-01,200409,2004,3,9,False,2004 SEP,77.9,1.2,0.1
2004-10-01,200410,2004,4,10,False,2004 OCT,78.1,1.3,0.3
2004-11-01,200411,2004,4,11,False,2004 NOV,78.3,1.5,0.2
2004-12-01,200412,2004,4,12,False,2004 DEC,78.6,1.8,0.5
2005-01-01,200501,2005,1,1,False,2005 JAN,78.3,1.7,-0.4
2005-02-01,200502,2005,1,2,False,2005 FEB,78.5,1.7,0.2
2005-03-01,200503,2005,1,3,False,2005 MAR,78.8,2.0,0.4
2005-04-01,200504,2005,2,4,False,2005 APR,79.1,1.9,0.4
2005-05-01,200505,2005,2,5,False,2005 MAY,79.4,1.9,0.3
2005-06-01,200506,2005,2,6,False,2005 JUN,79.4,2.0,0.1
2005-07-01,200507,2005,3,7,False,2005 JUL,79.5,2.3,0.1
2005-08-01,200508,2005,3,8,False,2005 AUG,79.7,2.4,0.3
2005-09-01,200509,2005,3,9,False,2005 SEP,79.9,2.5,0.2
2005-10-01,200510,2005,4,10,False,2005 OCT,80.0,2.4,0.2
2005-11-01,200511,2005,4,11,False,2005 NOV,80.0,2.2,0.0
2005-12-01,200512,2005,4,12,False,2005 DEC,80.3,2.1,0.3
2006-01-01,200601,2006,1,1,False,2006 JAN,80.0,2.2,-0.3
2006-02-01,200602,2006,1,2,False,2006 FEB,80.2,2.2,0.3
2006-03-01,200603,2006,1,3,False,2006 MAR,80.4,2.0,0.2
2006-04-01,200604,2006,2,4,False,2006 APR,80.9,2.2,0.6
2006-05-01,200605,2006,2,5,False,2006 MAY,81.3,2.4,0.5
2006-06-01,200606,2006,2,6,False,2006 JUN,81.5,2.6,0.3
2006-07-01,200607,2006,3,7,False,2006 JUL,81.5,2.5,0.0
2006-08-01,200608,2006,3,8,False,2006 AUG,81.8,2.6,0.4
2006-09-01,200609,2006,3,9,False,2006 SEP,81.9,2.5,0.1
2006-10-01,200610,2006,4,10,False,2006 OCT,82.0,2.5,0.2
